control_id,iteration,cosine_tfidf,rouge_l_f1,bleu,structural_similarity,bertscore_f1,precision,recall,f1,true_positives,gt_count,ai_claims,matched_ai_claims
148,1,0.3857134084709059,0.17346938775510204,0.029455403691153372,0.6063184142112732,0.1932608187198639,0.5,0.2,0.28571428571428575,2,10,4,2
148,2,0.37256303509248145,0.18811881188118812,0.029241225159010155,0.6428898572921753,0.17445988953113556,0.0,0.0,0.0,0,10,3,0
148,3,0.43284657589732134,0.2247191011235955,0.027994767465948433,0.6575627326965332,0.20346084237098694,0.25,0.1,0.14285714285714288,1,10,4,1
148,4,0.3920862272362475,0.2105263157894737,0.027938703968864557,0.5365076065063477,0.16100654006004333,0.0,0.0,0.0,0,10,3,0
148,5,0.46369342919803086,0.23913043478260873,0.03872333686181896,0.5763508081436157,0.2069271355867386,0.0,0.0,0.0,0,10,3,0
148,6,0.41717087388242935,0.20353982300884954,0.026332633093466687,0.6786778569221497,0.17306949198246002,0.4,0.2,0.26666666666666666,2,10,5,2
148,7,0.4504609362460555,0.22549019607843138,0.03904928413257118,0.6304053068161011,0.2102881669998169,0.25,0.1,0.14285714285714288,1,10,4,1
148,8,0.41862826862163516,0.2131979695431472,0.024953449497407867,0.618939995765686,0.1885312795639038,0.5,0.2,0.28571428571428575,2,10,4,2
148,9,0.4345953540996,0.2099447513812155,0.042280666642290035,0.6547421216964722,0.21750962734222412,0.3333333333333333,0.1,0.15384615384615383,1,10,3,1
148,10,0.3946969850694118,0.18556701030927836,0.05381699626945439,0.5630798935890198,0.19254638254642487,0.2,0.1,0.13333333333333333,1,10,5,1
149,1,0.10094535081813928,0.08839779005524862,0.0044694029664133425,0.3277209401130676,-0.1144251823425293,0.0,0.0,0.0,0,5,3,0
149,2,0.18730255268079946,0.15476190476190477,0.005683746221785425,0.4352433681488037,0.002162763848900795,0.16666666666666666,0.2,0.1818181818181818,1,5,6,1
149,3,0.0967337663453321,0.09090909090909093,0.0036498328281551356,0.3808774948120117,-0.07551556080579758,0.0,0.0,0.0,0,5,5,0
149,4,0.1406043149338929,0.10285714285714284,0.004880547579467122,0.381623238325119,-0.17039887607097626,0.0,0.0,0.0,0,5,4,0
149,5,0.11246123910661729,0.12264150943396226,0.00449332718847453,0.4077981114387512,-0.07426183670759201,0.0,0.0,0.0,0,5,5,0
149,6,0.0886920391717558,0.13173652694610777,0.006384095032934021,0.4171209931373596,0.04277780279517174,0.0,0.0,0.0,0,5,4,0
149,7,0.11698850333730086,0.09836065573770492,0.0043660048263371625,0.2916467785835266,-0.06368887424468994,0.0,0.0,0.0,0,5,3,0
149,8,0.10856385692316936,0.10596026490066227,0.006100994907807137,0.36767804622650146,-0.04175328090786934,0.0,0.0,0.0,0,5,4,0
149,9,0.12205802087338075,0.13245033112582785,0.007010578486515276,0.3960380554199219,0.018893811851739883,0.0,0.0,0.0,0,5,4,0
149,10,0.10040120357351807,0.09248554913294797,0.005237293826183405,0.39220133423805237,-0.06019257381558418,0.0,0.0,0.0,0,5,4,0
150,1,0.35519474470766105,0.24827586206896557,0.019056345072963107,0.46284937858581543,0.09391318261623383,0.0,0.0,0.0,0,4,4,0
150,2,0.2779217865136585,0.16184971098265896,0.022177435331517916,0.5179836750030518,0.031410932540893555,0.0,0.0,0.0,0,4,4,0
150,3,0.3348923472552436,0.16666666666666669,0.02337847829592964,0.5459768772125244,0.04847041890025139,0.0,0.0,0.0,0,4,5,0
150,4,0.26978397266861864,0.18666666666666665,0.01786795001423481,0.4719313085079193,0.11209537088871002,0.0,0.0,0.0,0,4,4,0
150,5,0.30462817150577115,0.1917808219178082,0.017993647319038512,0.5377199649810791,0.020225586369633675,0.0,0.0,0.0,0,4,4,0
150,6,0.29083560448551976,0.175,0.016460957205337266,0.47194904088974,0.059713684022426605,0.0,0.0,0.0,0,4,6,0
150,7,0.3410462123020147,0.20270270270270271,0.01782735752915994,0.5477423667907715,0.13746406137943268,0.0,0.0,0.0,0,4,4,0
150,8,0.28909497268108836,0.14965986394557823,0.02754044638529544,0.46405255794525146,0.06307896226644516,0.0,0.0,0.0,0,4,4,0
150,9,0.32877932165217316,0.1450777202072539,0.022439633938682157,0.4741109013557434,0.03489663824439049,0.0,0.0,0.0,0,4,6,0
150,10,0.22879141396960714,0.1830065359477124,0.016573887891093306,0.49101030826568604,0.10005573183298111,0.0,0.0,0.0,0,4,5,0
151,1,0.16346606225832033,0.17989417989417988,0.006069709573035045,0.5034670233726501,0.0064384955912828445,0.0,0.0,0.0,0,10,4,0
151,2,0.15771547750919762,0.13684210526315788,0.005866076263320475,0.5262576341629028,0.016852889209985733,0.0,0.0,0.0,0,10,4,0
151,3,0.13238400196599098,0.11872146118721462,0.009677320282400474,0.4344331920146942,-0.08541469275951385,0.0,0.0,0.0,0,10,5,0
151,4,0.05956865956808428,0.08771929824561404,4.03249125371647e-05,0.4426414966583252,0.003066858509555459,0.0,0.0,0.0,0,10,1,0
151,5,0.17225640271215886,0.1899441340782123,0.006158321556510673,0.5325220823287964,0.04478270187973976,0.0,0.0,0.0,0,10,4,0
151,6,0.1628319857640435,0.19,0.006216992806794462,0.5157748460769653,-0.04409933462738991,0.0,0.0,0.0,0,10,4,0
151,7,0.16290353292652734,0.15841584158415842,0.011654369082597179,0.4603397250175476,0.035125840455293655,0.0,0.0,0.0,0,10,4,0
151,8,0.06202025870046821,0.06557377049180328,0.0002855862688608125,0.3014310896396637,-0.057660046964883804,0.0,0.0,0.0,0,10,2,0
151,9,0.1743336415859495,0.1739130434782609,0.0059883687242578525,0.5838401317596436,0.04069343954324722,0.0,0.0,0.0,0,10,4,0
151,10,0.1918063119324873,0.1509433962264151,0.0060009547659659,0.4838031530380249,-0.06968238949775696,0.0,0.0,0.0,0,10,9,0
152,1,0.11617688197249215,0.14054054054054055,0.0038057986686647997,0.4808521866798401,0.05914226919412613,0.5,0.2,0.28571428571428575,2,10,4,1
152,2,0.17427746728434107,0.1564245810055866,0.004775652771509425,0.46043676137924194,0.008990091271698475,0.0,0.0,0.0,0,10,3,0
152,3,0.12989475893987748,0.1306532663316583,0.004621139668416999,0.48560887575149536,0.0005795388133265078,0.5,0.2,0.28571428571428575,2,10,4,1
152,4,0.09780216818603867,0.10695187165775401,0.004089596815921263,0.44569987058639526,-0.05241559073328972,0.0,0.0,0.0,0,10,3,0
152,5,0.11625327169277516,0.10784313725490197,0.0075685206768249125,0.38505837321281433,-0.054535623639822006,0.0,0.0,0.0,0,10,4,0
152,6,0.13776207239176536,0.10126582278481011,0.0022298180921733034,0.5573341846466064,-0.008076108060777187,1.0,0.2,0.33333333333333337,2,10,2,1
152,7,0.11747933547300737,0.11267605633802817,0.005018583777623048,0.4420846104621887,-0.0027486595790833235,0.3333333333333333,0.2,0.25,2,10,6,1
152,8,0.04858214019219107,0.08163265306122448,0.0036470107133468347,0.3833460211753845,-0.037364181131124496,0.0,0.0,0.0,0,10,4,0
152,9,0.18381070961482765,0.05309734513274336,0.0,0.5520896911621094,-0.18869337439537048,0.0,0.0,0.0,0,10,1,0
152,10,0.14644163216253975,0.1188118811881188,0.00442811441609566,0.4805434048175812,0.005596204660832882,0.5,0.2,0.28571428571428575,2,10,4,1
153,1,0.28725990599128837,0.2,0.010949105636500495,0.5327718257904053,0.2209579050540924,0.0,0.0,0.0,0,3,4,0
153,2,0.2970759642811534,0.09427609427609428,0.0027157251562942215,0.44545355439186096,-0.032806627452373505,0.0,0.0,0.0,0,3,13,0
153,3,0.30347860697882434,0.0738255033557047,0.0027204236826060928,0.5380375385284424,0.021724404767155647,0.0,0.0,0.0,0,3,9,0
153,4,0.2565141541953005,0.1395348837209302,0.0049767375440144335,0.5199283957481384,0.00742417061701417,0.0,0.0,0.0,0,3,5,0
153,5,0.30850691771957567,0.14379084967320263,0.005187831294732328,0.513439416885376,0.09501363337039948,0.0,0.0,0.0,0,3,4,0
